characteristic,layered,modular monolith,microkernel,microservices,service-based,service-oriented,event-driven,space-based
agility,1,2,3,5,4,1,3,2
abstraction,1,1,3,1,1,5,4,1
configurability,1,1,4,3,2,1,2,2
cost,5,5,5,1,4,1,3,2
deployability,1,2,3,5,4,1,3,3
domain part.,1,5,5,5,5,1,1,5
elasticity,1,1,1,5,2,3,4,5
evolvability,1,1,3,5,3,1,5,3
fault-tolerance,1,1,1,5,4,3,5,3
integration,1,1,3,3,2,5,3,2
interoperability,1,1,3,3,2,5,3,2
performance,3,3,3,2,3,2,5,5
scalability,1,1,1,5,3,3,5,5
simplicity,5,5,4,1,3,1,1,1
testability,2,2,3,5,4,1,2,1
workflow,1,1,2,1,1,5,5,1
